"1","F0001-00000001","2025-01-05","1","1"
"2","F0001-00000002","2025-01-06","2","1"
"3","F0001-00000003","2025-01-07","3","2"
"4","F0001-00000004","2025-01-07","1","3"
"5","F0001-00000005","2025-01-08","2","4"
"6","F0001-00000006","2025-01-09","3","5"
"7","F0001-00000007","2025-01-09","4","6"
"8","F0001-00000008","2025-01-10","1","7"
"9","F0001-00000009","2025-01-11","3","1"
"10","F0001-00000010","2025-01-12","2","2"
"11","F0001-00000011","2025-01-12","1","3"
"12","F0001-00000012","2025-01-13","3","4"
"13","F0001-00000013","2025-01-14","2","5"
"14","F0001-00000014","2025-01-15","1","6"
"15","F0001-00000015","2025-01-16","4","7"
"16","F0001-00000016","2025-01-17","2","1"
"17","F0001-00000017","2025-01-18","1","2"
"18","F0001-00000018","2025-01-18","3","3"
"19","F0001-00000019","2025-01-19","2","4"
"20","F0001-00000020","2025-01-20","1","5"
"21","F0001-00000021","2025-01-21","4","6"
"22","F0001-00000022","2025-01-22","3","7"
"23","F0001-00000023","2025-01-23","2","1"
"24","F0001-00000024","2025-01-24","1","2"
"25","F0001-00000025","2025-01-25","3","3"
"26","F0001-00000026","2025-01-26","4","4"
"27","F0001-00000027","2025-01-27","1","5"
"28","F0001-00000028","2025-01-28","3","6"
"29","F0001-00000029","2025-01-29","2","7"
"30","F0001-00000030","2025-01-30","1","1"
